Unnamed: 0,appid,name,release_date,required_age,price,dlc_count,categories,genres,user_score,positive,negative,tags,review_text,explicit_expectations,has_explicit,expectations,ABSA_expectations,dominant_aspect,dominant_sentiment
3,252490,Rust,2018-02-08,0,39.99,4,"['Multi-player', 'MMO', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'In-App Purchases', 'Valve Anti-Cheat enabled', 'Stats', 'Remote Play on Tablet']","['Action', 'Adventure', 'Indie', 'Massively Multiplayer', 'RPG']",0,1043708,152272,"{'Survival': 18592, 'Crafting': 11822, 'Multiplayer': 11755, 'Open World': 11220, 'Open World Survival Craft': 8769, 'Building': 8354, 'PvP': 7651, 'Sandbox': 7238, 'Adventure': 5868, 'First-Person': 5355, 'Action': 4907, 'Nudity': 4793, 'FPS': 4749, 'Shooter': 3890, 'Co-op': 3826, 'Online Co-Op': 3770, 'Indie': 3099, 'Post-apocalyptic': 2979, 'Early Access': 2915, 'Simulation': 2600}","Rust is one of the cruelest games on Steam, and that's what makes it so compelling.",[],False,"[{'expectation': 'cruelest games', 'aspect': 'gameplay'}]","[{'aspect': 'gameplay', 'sentiment': 'neutral'}]",gameplay,neutral
4,252490,Rust,2018-02-08,0,39.99,4,"['Multi-player', 'MMO', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'In-App Purchases', 'Valve Anti-Cheat enabled', 'Stats', 'Remote Play on Tablet']","['Action', 'Adventure', 'Indie', 'Massively Multiplayer', 'RPG']",0,1043708,152272,"{'Survival': 18592, 'Crafting': 11822, 'Multiplayer': 11755, 'Open World': 11220, 'Open World Survival Craft': 8769, 'Building': 8354, 'PvP': 7651, 'Sandbox': 7238, 'Adventure': 5868, 'First-Person': 5355, 'Action': 4907, 'Nudity': 4793, 'FPS': 4749, 'Shooter': 3890, 'Co-op': 3826, 'Online Co-Op': 3770, 'Indie': 3099, 'Post-apocalyptic': 2979, 'Early Access': 2915, 'Simulation': 2600}","Usually, people will just kill you on sight, but not always.",[],False,"[{'expectation': 'sacrifice on sight', 'aspect': 'progression'}]","[{'aspect': 'progression', 'sentiment': 'negative'}]",progression,negative
7,1172470,Apex Legends™,2020-11-04,0,0.0,0,"['Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'In-App Purchases']","['Action', 'Adventure', 'Free To Play']",0,660150,322363,"{'Free to Play': 2170, 'Battle Royale': 1483, 'Multiplayer': 1477, 'FPS': 1442, 'Shooter': 1350, 'First-Person': 1099, 'PvP': 931, 'Action': 825, 'Hero Shooter': 762, 'Team-Based': 736, 'Tactical': 556, 'Sci-fi': 501, 'Survival': 493, 'Loot': 491, 'Co-op': 475, 'Character Customization': 474, 'Funny': 456, 'Lore-Rich': 368, 'Cyberpunk': 355, 'Cinematic': 296}",The champion of Battle Royales.,[],False,"[{'expectation': 'Battle Royales', 'aspect': 'gameplay'}]","[{'aspect': 'gameplay', 'sentiment': 'neutral'}]",gameplay,neutral
10,292030,The Witcher 3: Wild Hunt,2015-05-18,17,39.99,22,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Partial Controller Support', 'Steam Cloud', 'Remote Play on Tablet', 'Remote Play on TV', 'Family Sharing']",['RPG'],0,791139,31979,"{'Open World': 12704, 'RPG': 10744, 'Story Rich': 9941, 'Atmospheric': 6852, 'Mature': 6780, 'Fantasy': 6537, 'Adventure': 6423, 'Singleplayer': 6228, 'Nudity': 6046, 'Choices Matter': 5754, 'Great Soundtrack': 4711, 'Third Person': 4677, 'Medieval': 4545, 'Action': 4392, 'Multiple Endings': 3940, 'Action RPG': 3884, 'Dark Fantasy': 3699, 'Magic': 3693, 'Dark': 2205, 'Sandbox': 1326}",ONE OF THE BEST GAMES EVER MADE,[],False,"[{'expectation': 'best GAMES', 'aspect': 'gameplay'}]","[{'aspect': 'gameplay', 'sentiment': 'positive'}]",gameplay,positive
11,292030,The Witcher 3: Wild Hunt,2015-05-18,17,39.99,22,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Partial Controller Support', 'Steam Cloud', 'Remote Play on Tablet', 'Remote Play on TV', 'Family Sharing']",['RPG'],0,791139,31979,"{'Open World': 12704, 'RPG': 10744, 'Story Rich': 9941, 'Atmospheric': 6852, 'Mature': 6780, 'Fantasy': 6537, 'Adventure': 6423, 'Singleplayer': 6228, 'Nudity': 6046, 'Choices Matter': 5754, 'Great Soundtrack': 4711, 'Third Person': 4677, 'Medieval': 4545, 'Action': 4392, 'Multiple Endings': 3940, 'Action RPG': 3884, 'Dark Fantasy': 3699, 'Magic': 3693, 'Dark': 2205, 'Sandbox': 1326}",AMAZING,[],False,[],[],,
12,292030,The Witcher 3: Wild Hunt,2015-05-18,17,39.99,22,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Partial Controller Support', 'Steam Cloud', 'Remote Play on Tablet', 'Remote Play on TV', 'Family Sharing']",['RPG'],0,791139,31979,"{'Open World': 12704, 'RPG': 10744, 'Story Rich': 9941, 'Atmospheric': 6852, 'Mature': 6780, 'Fantasy': 6537, 'Adventure': 6423, 'Singleplayer': 6228, 'Nudity': 6046, 'Choices Matter': 5754, 'Great Soundtrack': 4711, 'Third Person': 4677, 'Medieval': 4545, 'Action': 4392, 'Multiple Endings': 3940, 'Action RPG': 3884, 'Dark Fantasy': 3699, 'Magic': 3693, 'Dark': 2205, 'Sandbox': 1326}",ONE OF THE BEST RPGs EVER MADE,[],False,"[{'expectation': 'best RPGs', 'aspect': 'gameplay'}]","[{'aspect': 'gameplay', 'sentiment': 'positive'}]",gameplay,positive
13,1245620,ELDEN RING,2022-02-24,16,59.99,2,"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Family Sharing']","['Action', 'RPG']",0,956144,73714,"{'Souls-like': 6823, 'Open World': 4941, 'Dark Fantasy': 4868, 'RPG': 4617, 'Difficult': 4500, 'Action RPG': 3521, 'Third Person': 3355, 'Multiplayer': 3322, 'Fantasy': 3175, 'Singleplayer': 3066, 'Online Co-Op': 2969, 'Action': 2791, 'Co-op': 2403, 'Atmospheric': 2352, 'PvP': 2332, 'Great Soundtrack': 2309, 'Violent': 2245, '3D': 2035, 'Character Customization': 1298, 'Family Friendly': 1293}",Put a ring on it.,[],False,"[{'expectation': 'ring on it', 'aspect': 'value'}]","[{'aspect': 'value', 'sentiment': 'positive'}]",value,positive
15,1245620,ELDEN RING,2022-02-24,16,59.99,2,"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Family Sharing']","['Action', 'RPG']",0,956144,73714,"{'Souls-like': 6823, 'Open World': 4941, 'Dark Fantasy': 4868, 'RPG': 4617, 'Difficult': 4500, 'Action RPG': 3521, 'Third Person': 3355, 'Multiplayer': 3322, 'Fantasy': 3175, 'Singleplayer': 3066, 'Online Co-Op': 2969, 'Action': 2791, 'Co-op': 2403, 'Atmospheric': 2352, 'PvP': 2332, 'Great Soundtrack': 2309, 'Violent': 2245, '3D': 2035, 'Character Customization': 1298, 'Family Friendly': 1293}",Exploration is jaw dropping.,[],False,"[{'expectation': 'exploration is jaw dropping', 'aspect': 'gameplay'}]","[{'aspect': 'gameplay', 'sentiment': 'positive'}]",gameplay,positive
18,413150,Stardew Valley,2016-02-26,0,14.99,1,"['Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'LAN Co-op', 'Shared/Split Screen Co-op', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play Together', 'Family Sharing']","['Indie', 'RPG', 'Simulation']",0,841413,13440,"{'Farming Sim': 7706, 'Pixel Graphics': 7169, 'Multiplayer': 7088, 'Life Sim': 7083, 'RPG': 6396, 'Relaxing': 6108, 'Agriculture': 5247, 'Simulation': 5198, 'Crafting': 4386, 'Sandbox': 4284, 'Indie': 4181, 'Building': 3535, 'Singleplayer': 3275, 'Casual': 3274, 'Open World': 3241, '2D': 2935, 'Cute': 2747, 'Dating Sim': 2724, 'Great Soundtrack': 2521, 'Fishing': 2220}",Stardew Valley has been the most rich and heartwarming experience I’ve had in a game in years.,[],False,"[{'expectation': 'heartwarming experience', 'aspect': 'story'}]","[{'aspect': 'story', 'sentiment': 'positive'}]",story,positive
25,739630,Phasmophobia,2020-09-18,0,19.99,0,"['Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Full controller support', 'Tracked Controller Support', 'VR Supported', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play on Phone', 'Remote Play on Tablet', 'Family Sharing']","['Action', 'Indie', 'Early Access']",0,723620,31340,"{'Horror': 4333, 'Online Co-Op': 2889, 'Multiplayer': 2625, 'Psychological Horror': 2066, 'Co-op': 1812, 'VR': 1536, 'Supernatural': 1524, 'First-Person': 1409, 'Investigation': 1321, 'Dark': 1002, 'Demons': 932, 'Detective': 922, 'Mystery': 873, 'Thriller': 647, '3D': 643, 'Early Access': 619, 'Indie': 564, 'Action': 476, 'Tactical': 466, 'Singleplayer': 366}",Phasmophobia Is a New Steam and Twitch Sensation,[],False,"[{'expectation': 'new steam', 'aspect': 'gameplay'}, {'expectation': 'twitch sensation', 'aspect': 'audio'}]","[{'aspect': 'gameplay', 'sentiment': 'positive'}, {'aspect': 'audio', 'sentiment': 'positive'}]",gameplay,positive
