index,sentence,model_aspect,gpt_aspect,agreement
0,"Rust is one of the cruelest games on Steam, and that's what makes it so compelling.",gameplay,"""gameplay""",yes
2,The champion of Battle Royales.,gameplay,gameplay,yes
4,AMAZING,value,graphics,no
6,Put a ring on it.,value,"""value""",yes
8,Stardew Valley has been the most rich and heartwarming experience I’ve had in a game in years.,story,story,yes
10,Made friends from it and probably will lose them all because of it at some point.,story,community,no
12,Among Us is a game.,gameplay,"""gameplay""",yes
14,It’s an exciting time to be a PC gamer when a team of just four people can create something this impressive.,gameplay,innovation,partial
16,"Geometry Dash is a fast-paced platformer that will leave you screaming in frustration, but you’ll keep coming back for more.",gameplay,gameplay,yes
18,"Dying Light gradually and gratifyingly evolves into a fast, hyper-violent celebration of vertical freedom and zombie destruction.",gameplay,gameplay,yes
20,This beautifully implemented port is a perfect PC introduction to the joys of Monster Hunter,gameplay,gameplay,yes
22,This is absolutely a buy,value,"""value""",yes
24,Amazing Car Crashes + Hilarious Greenlight Trailer = Magic,gameplay,graphics,no
26,Spelunking co-operative goodness. It's a winner.,performance,gameplay,no
28,utterly breathtaking,graphics,graphics,yes
30,An Open-World Masterpiece,story,gameplay,no
32,Hades is one of the best roguelites of all-time.,graphics,gameplay,no
34,7 Days to Die is like Minecraft with Gravity. Building defenses with friends and huddling in the corner hoping no zombies get through can be great fun. But what keeps me coming back to the game is the TNT.,gameplay,gameplay,yes
36,PC Game of the Year 2013,gameplay,graphics,no
38,I have a couple of issues with the user interface.,graphics,"""user interface"" typically falls under the ""performance"" aspect.",no
40,"n a year of groundbreaking video game releases, The Finals is yet another highlight.",gameplay,"""innovation""",yes
42,The pinnacle of First Person Shooters,gameplay,gameplay,yes
44,"The finest city builder in over a decade, Cities: Skylines's few flaws are so minor I only noticed them after hours of enjoyment.",performance,gameplay,no
46,"This is the game, and it makes Borderlands persistently fresh in a way other shooters never are.",gameplay,gameplay,yes
48,A Masterpiece,story,"""graphics""",no
50,Essential,value,"""gameplay""",no
52,It's just dumb fun...,gameplay,value,partially
54,Instant Classic,audio,gameplay,no
56,A master class in AAA game development.,gameplay,innovation,partially
58,Slay the Spire is the Roguelike Card Game I Never Knew I Wanted,gameplay,gameplay,yes
60,...a lively and engaging multiplayer experience…,gameplay,gameplay,partially
62,A monster of a sequel.,story,story,yes
64,Dead Cells may be the most fun I've had in a game all year.,gameplay,gameplay,yes
66,This game is SO fun,gameplay,gameplay,yes
68,Humans were not supposed to be doing this!,gameplay,innovation,partially
70,BADASS,gameplay,gameplay,yes
72,"A touching tale on the importance of pets, hope, and friendship",story,"""story""",yes
74,I can't say enough nice things about Darkest Dungeon.,story,value,no
76,It is a must-play for fans of MOBAs and action games alike,gameplay,gameplay,yes
78,Smite a great game to play with friends.,gameplay,gameplay,yes
80,"Black Mesa Source winds up being exactly what it always promised to be – a modernised, faithful recreation of a deservedly landmark first-person shooter.",story,gameplay,no
82,The best third-person shooter I've played in years.,gameplay,gameplay,yes
84,Balatro is one of the best deck-building roguelikes I have ever played.,gameplay,gameplay,yes
86,The most impressive Need for Speed game in years.,gameplay,"""gameplay""",yes
88,Celeste is a surprise masterpiece.,innovation,"""story""",no
90,"Bold, ambitious, and surprising",innovation,"""innovation""",yes
92,ONE ADVENTURE YOU WON’T WANT TO MISS,gameplay,"""adventure"" refers to the aspect of ""gameplay.""",yes
94,Outstanding,performance,"overall, the implicit aspect discussed in the sentence ""outstanding"" would be ""performance"".",yes.
96,The Final Cut elevates Disco Elysium from an already phenomenal RPG to a true must-play masterpiece.,audio,story,no
98,"Teardown Is A Heist Game Where Levels Are Fully Destructible, And It's Fantastic",gameplay,gameplay,yes
100,"If ever there was an example of outstanding FPS gunplay, Insurgency: Sandstorm is surely it",gameplay,gameplay,yes
102,"Space Engineers makes welding, joining and glazing seem like the best jobs in the world. It looks superb.",graphics,graphics,yes
104,"If you enjoy third-person brawlers DMC5 is a must, and if you've never tried one before, this is a great place to start. What a treat.",gameplay,gameplay,yes
106,Director Hideaki Itsuno and his team have delivered: Devil May Cry is back.,story,gameplay,no
108,"'...what (Outlast) can definitely claim to be is a great game... It’ll also intrigue, terrify and surprise you. Outlast is not an experiment in how games can be scary, it’s an exemplification...",gameplay,story,no
110,A hallmark of excellence.,innovation,"""excellence"" is often associated with high quality and exceptional performance. therefore, the aspect that best describes the main implicit aspect in the sentence ""a hallmark of excellence"" is ""performance.""",no
112,The best World War II shooter for years,gameplay,gameplay,yes
114,"It's a game time-traveled in directly from the fear-center of Tipper Gore's brain, circa 1989. It's pure, unadulterated nihilism with a candy-coated shell. And I'll be damned if it isn't one of the most intoxicating games of this year.",gameplay,"""gameplay""",partially
116,"The developers say that they’ve created the most realistic simulation of the human metabolic system ever made, the end result of which is a fairly regular requirement that my avatar urinate and empty his bowels.",gameplay,gameplay,yes
118,Cult of the Lamb sinks its claws into you.,gameplay,gameplay,yes
120,"Each time I beamed down from my personal starship into the 2D sidescrolling craft-em-up that is Starbound, I found an experience that shoots for the stars and lands squarely among them.",gameplay,gameplay,yes
