appid,name,release_date,required_age,price,dlc_count,categories,genres,user_score,positive,negative,tags,review_text,explicit_expectations,has_explicit,expectations,dominant_aspect,dominant_sentiment
570,Dota 2,2013-07-09,0,0.0,2,"['Multi-player', 'Co-op', 'Steam Trading Cards', 'Steam Workshop', 'SteamVR Collectibles', 'In-App Purchases', 'Valve Anti-Cheat enabled', 'Steam Timeline']","['Action', 'Strategy', 'Free To Play']",0,1998462,451338,"{'Free to Play': 59933, 'MOBA': 20158, 'Multiplayer': 15359, 'Strategy': 14252, 'e-sports': 11780, 'Team-Based': 10962, 'Competitive': 8286, 'Action': 7920, 'Online Co-Op': 7464, 'PvP': 6046, 'Difficult': 5349, 'Co-op': 4316, 'RTS': 4110, 'RPG': 3792, 'Tower Defense': 3774, 'Fantasy': 3749, 'Character Customization': 2930, 'Replay Value': 2755, 'Action RPG': 2460, 'Simulation': 1979}",A modern multiplayer masterpiece.,"[{'expectation': 'modern multiplayer', 'aspect': 'community'}, {'expectation': 'modern multiplayer masterpiece', 'aspect': 'community'}]",True,"[{'aspect': 'community', 'sentiment': 'positive'}, {'aspect': 'community', 'sentiment': 'positive'}]",community,positive
570,Dota 2,2013-07-09,0,0.0,2,"['Multi-player', 'Co-op', 'Steam Trading Cards', 'Steam Workshop', 'SteamVR Collectibles', 'In-App Purchases', 'Valve Anti-Cheat enabled', 'Steam Timeline']","['Action', 'Strategy', 'Free To Play']",0,1998462,451338,"{'Free to Play': 59933, 'MOBA': 20158, 'Multiplayer': 15359, 'Strategy': 14252, 'e-sports': 11780, 'Team-Based': 10962, 'Competitive': 8286, 'Action': 7920, 'Online Co-Op': 7464, 'PvP': 6046, 'Difficult': 5349, 'Co-op': 4316, 'RTS': 4110, 'RPG': 3792, 'Tower Defense': 3774, 'Fantasy': 3749, 'Character Customization': 2930, 'Replay Value': 2755, 'Action RPG': 2460, 'Simulation': 1979}","Once you start to learn its secrets, there’s a wild and exciting variety of play here that’s unmatched, even by its peers.","[{'expectation': 'variety of play', 'aspect': 'gameplay'}]",True,"[{'aspect': 'gameplay', 'sentiment': 'positive'}]",gameplay,positive
570,Dota 2,2013-07-09,0,0.0,2,"['Multi-player', 'Co-op', 'Steam Trading Cards', 'Steam Workshop', 'SteamVR Collectibles', 'In-App Purchases', 'Valve Anti-Cheat enabled', 'Steam Timeline']","['Action', 'Strategy', 'Free To Play']",0,1998462,451338,"{'Free to Play': 59933, 'MOBA': 20158, 'Multiplayer': 15359, 'Strategy': 14252, 'e-sports': 11780, 'Team-Based': 10962, 'Competitive': 8286, 'Action': 7920, 'Online Co-Op': 7464, 'PvP': 6046, 'Difficult': 5349, 'Co-op': 4316, 'RTS': 4110, 'RPG': 3792, 'Tower Defense': 3774, 'Fantasy': 3749, 'Character Customization': 2930, 'Replay Value': 2755, 'Action RPG': 2460, 'Simulation': 1979}",Dota 2 is possibly the only competitive free-to-play game that is totally uncompromised by its business model.,[],True,[],,
252490,Rust,2018-02-08,0,39.99,4,"['Multi-player', 'MMO', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'In-App Purchases', 'Valve Anti-Cheat enabled', 'Stats', 'Remote Play on Tablet']","['Action', 'Adventure', 'Indie', 'Massively Multiplayer', 'RPG']",0,1043708,152272,"{'Survival': 18592, 'Crafting': 11822, 'Multiplayer': 11755, 'Open World': 11220, 'Open World Survival Craft': 8769, 'Building': 8354, 'PvP': 7651, 'Sandbox': 7238, 'Adventure': 5868, 'First-Person': 5355, 'Action': 4907, 'Nudity': 4793, 'FPS': 4749, 'Shooter': 3890, 'Co-op': 3826, 'Online Co-Op': 3770, 'Indie': 3099, 'Post-apocalyptic': 2979, 'Early Access': 2915, 'Simulation': 2600}","Rust is one of the cruelest games on Steam, and that's what makes it so compelling.",[],False,[],,
252490,Rust,2018-02-08,0,39.99,4,"['Multi-player', 'MMO', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'In-App Purchases', 'Valve Anti-Cheat enabled', 'Stats', 'Remote Play on Tablet']","['Action', 'Adventure', 'Indie', 'Massively Multiplayer', 'RPG']",0,1043708,152272,"{'Survival': 18592, 'Crafting': 11822, 'Multiplayer': 11755, 'Open World': 11220, 'Open World Survival Craft': 8769, 'Building': 8354, 'PvP': 7651, 'Sandbox': 7238, 'Adventure': 5868, 'First-Person': 5355, 'Action': 4907, 'Nudity': 4793, 'FPS': 4749, 'Shooter': 3890, 'Co-op': 3826, 'Online Co-Op': 3770, 'Indie': 3099, 'Post-apocalyptic': 2979, 'Early Access': 2915, 'Simulation': 2600}","Usually, people will just kill you on sight, but not always.",[],False,[],,
252490,Rust,2018-02-08,0,39.99,4,"['Multi-player', 'MMO', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'In-App Purchases', 'Valve Anti-Cheat enabled', 'Stats', 'Remote Play on Tablet']","['Action', 'Adventure', 'Indie', 'Massively Multiplayer', 'RPG']",0,1043708,152272,"{'Survival': 18592, 'Crafting': 11822, 'Multiplayer': 11755, 'Open World': 11220, 'Open World Survival Craft': 8769, 'Building': 8354, 'PvP': 7651, 'Sandbox': 7238, 'Adventure': 5868, 'First-Person': 5355, 'Action': 4907, 'Nudity': 4793, 'FPS': 4749, 'Shooter': 3890, 'Co-op': 3826, 'Online Co-Op': 3770, 'Indie': 3099, 'Post-apocalyptic': 2979, 'Early Access': 2915, 'Simulation': 2600}","For competitive players who want a mix of survival and crafting, Rust is the best there is","[{'expectation': 'competitive players', 'aspect': 'community'}]",True,"[{'aspect': 'community', 'sentiment': 'positive'}]",community,positive
4000,Garry's Mod,2006-11-29,0,5.99,0,"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'LAN PvP', 'Co-op', 'Online Co-op', 'LAN Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Trading Cards', 'Captions available', 'Steam Workshop', 'Steam Cloud', 'Valve Anti-Cheat enabled', 'Includes level editor', 'Includes Source SDK', 'Remote Play on Tablet', 'Family Sharing']","['Casual', 'Indie', 'Simulation']",0,1106689,36727,"{'Sandbox': 18706, 'Moddable': 14479, 'Multiplayer': 14453, 'Physics': 14417, 'Building': 14389, 'Casual': 13162, 'Funny': 12972, 'First-Person': 12898, 'Singleplayer': 12870, 'FPS': 12834, 'Simulation': 12823, 'Online Co-Op': 12812, 'Comedy': 12809, 'Shooter': 12809, 'Co-op': 12809, 'Action': 12798, 'Indie': 12732, 'PvP': 8990, 'Realistic': 8982, 'Exploration': 8954}","It brings back the silly glee of unbridled experimentation, intuitive learning and playful social interactions that most of us haven't experienced since childhood. For that, it's essential.","[{'expectation': 'unbridled experimentation', 'aspect': 'innovation'}, {'expectation': 'social interactions', 'aspect': 'community'}]",True,"[{'aspect': 'innovation', 'sentiment': 'positive'}, {'aspect': 'community', 'sentiment': 'positive'}]",innovation,positive
1172470,Apex Legends™,2020-11-04,0,0.0,0,"['Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'In-App Purchases']","['Action', 'Adventure', 'Free To Play']",0,660150,322363,"{'Free to Play': 2170, 'Battle Royale': 1483, 'Multiplayer': 1477, 'FPS': 1442, 'Shooter': 1350, 'First-Person': 1099, 'PvP': 931, 'Action': 825, 'Hero Shooter': 762, 'Team-Based': 736, 'Tactical': 556, 'Sci-fi': 501, 'Survival': 493, 'Loot': 491, 'Co-op': 475, 'Character Customization': 474, 'Funny': 456, 'Lore-Rich': 368, 'Cyberpunk': 355, 'Cinematic': 296}",The champion of Battle Royales.,[],False,[],,
1172470,Apex Legends™,2020-11-04,0,0.0,0,"['Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'In-App Purchases']","['Action', 'Adventure', 'Free To Play']",0,660150,322363,"{'Free to Play': 2170, 'Battle Royale': 1483, 'Multiplayer': 1477, 'FPS': 1442, 'Shooter': 1350, 'First-Person': 1099, 'PvP': 931, 'Action': 825, 'Hero Shooter': 762, 'Team-Based': 736, 'Tactical': 556, 'Sci-fi': 501, 'Survival': 493, 'Loot': 491, 'Co-op': 475, 'Character Customization': 474, 'Funny': 456, 'Lore-Rich': 368, 'Cyberpunk': 355, 'Cinematic': 296}",The best Battle Royale game.,[],True,[],,
1172470,Apex Legends™,2020-11-04,0,0.0,0,"['Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'In-App Purchases']","['Action', 'Adventure', 'Free To Play']",0,660150,322363,"{'Free to Play': 2170, 'Battle Royale': 1483, 'Multiplayer': 1477, 'FPS': 1442, 'Shooter': 1350, 'First-Person': 1099, 'PvP': 931, 'Action': 825, 'Hero Shooter': 762, 'Team-Based': 736, 'Tactical': 556, 'Sci-fi': 501, 'Survival': 493, 'Loot': 491, 'Co-op': 475, 'Character Customization': 474, 'Funny': 456, 'Lore-Rich': 368, 'Cyberpunk': 355, 'Cinematic': 296}","Free, friendly, and consistently fun. It's the best Battle Royale game available today.","[{'expectation': 'game available', 'aspect': 'community'}, {'expectation': 'available today', 'aspect': 'community'}]",True,"[{'aspect': 'community', 'sentiment': 'positive'}, {'aspect': 'community', 'sentiment': 'positive'}]",community,positive
